="Estimating the Effects of Regional Trade Agreements"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="OLS",="PPML",="INTRA",="PAIRFE",="LEAD",="PHSNG"
="main",="",="",="",="",="",=""
="ln_dist",="-0.939",="-0.581",="0.064",="",="",=""
="",="(0.042)**",="(0.038)**",="(0.051)",="",="",=""
="contig",="0.230",="0.431",="1.283",="",="",=""
="",="(0.103)*",="(0.083)**",="(0.128)**",="",="",=""
="col",="0.325",="0.350",="0.198",="",="",=""
="",="(0.063)**",="(0.082)**",="(0.096)*",="",="",=""
="comcol",="3.017",="2.840",="3.221",="",="",=""
="",="(0.147)**",="(0.175)**",="(0.213)**",="",="",=""
="rta",="0.338",="0.606",="1.297",="0.063",="0.059",="0.056"
="",="(0.094)**",="(0.107)**",="(0.116)**",="(0.023)**",="(0.025)*",="(0.022)*"
="rta_data",="0.364",="0.036",="0.225",="-0.073",="-0.132",="-0.062"
="",="(0.126)**",="(0.094)",="(0.146)",="(0.026)**",="(0.063)*",="(0.026)*"
="rta_data_lead3",="",="",="",="",="0.060",=""
="",="",="",="",="",="(0.051)",=""
="rta_data_lag4",="",="",="",="",="",="0.058"
="",="",="",="",="",="",="(0.045)"
="rta_data_lag8",="",="",="",="",="",="0.091"
="",="",="",="",="",="",="(0.046)*"
="rta_data_lag12",="",="",="",="",="",="0.061"
="",="",="",="",="",="",="(0.042)"
="_cons",="20.312",="24.696",="18.577",="",="",=""
="",="(0.498)**",="(0.380)**",="(0.607)**",="",="",=""
="N",="14060",="14060",="14440",="14440",="14437",="14428"
="r2",="0.912",="",="",="0.990",="0.990",="0.990"
="Standard errors in parentheses"
="+ p<0.10, * p<.05, ** p<.01"
