="Estimating the Effects of Regional Trade Agreements"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="OLS",="PPML",="INTRA",="PAIRFE",="LEAD",="PHSNG"
="main",="",="",="",="",="",=""
="ln_dist",="-0.872",="-0.564",="0.058",="",="",=""
="",="(0.042)**",="(0.037)**",="(0.044)",="",="",=""
="contig",="0.296",="0.410",="1.151",="",="",=""
="",="(0.129)*",="(0.087)**",="(0.113)**",="",="",=""
="col",="0.340",="0.212",="0.229",="",="",=""
="",="(0.067)**",="(0.077)**",="(0.099)*",="",="",=""
="comcol",="1.028",="0.256",="1.074",="",="",=""
="",="(0.294)**",="(0.161)",="(0.208)**",="",="",=""
="rta",="0.586",="0.386",="1.053",="0.110",="0.114",="0.109"
="",="(0.069)**",="(0.072)**",="(0.081)**",="(0.025)**",="(0.025)**",="(0.026)**"
="rta_data",="0.150",="0.091",="0.243",="-0.010",="0.024",="-0.016"
="",="(0.110)",="(0.078)",="(0.122)*",="(0.024)",="(0.038)",="(0.023)"
="rta_data_lead3",="",="",="",="",="-0.033",=""
="",="",="",="",="",="(0.027)",=""
="rta_data_lag4",="",="",="",="",="",="-0.039"
="",="",="",="",="",="",="(0.025)"
="rta_data_lag8",="",="",="",="",="",="-0.019"
="",="",="",="",="",="",="(0.027)"
="rta_data_lag12",="",="",="",="",="",="-0.015"
="",="",="",="",="",="",="(0.040)"
="_cons",="9.318",="19.520",="13.278",="",="",=""
="",="(0.727)**",="(0.501)**",="(0.619)**",="",="",=""
="N",="24403",="24403",="24910",="24910",="24907",="24898"
="r2",="0.890",="",="",="0.980",="0.980",="0.981"
="Standard errors in parentheses"
="+ p<0.10, * p<.05, ** p<.01"
